0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:52 +0900] "GET /Daknawa/resources/admin/js/vendor/modernizr-2.8.3.min.js HTTP/1.1" 200 15514
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:52 +0900] "GET /Daknawa/resources/admin/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/wow.min.js HTTP/1.1" 200 8426
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/owl.carousel.min.js HTTP/1.1" 200 23890
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/jquery-price-slider.js HTTP/1.1" 200 24017
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/jquery.scrollUp.min.js HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/meanmenu/jquery.meanmenu.js HTTP/1.1" 200 11750
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/counterup/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/counterup/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/counterup/counterup-active.js HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/scrollbar/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 45483
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/sparkline/jquery.sparkline.min.js HTTP/1.1" 200 43251
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/sparkline/sparkline-active.js HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/flot/jquery.flot.resize.js HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/flot/jquery.flot.js HTTP/1.1" 200 126139
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/flot/flot-active.js HTTP/1.1" 200 11673
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/knob/jquery.knob.js HTTP/1.1" 200 26836
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/knob/jquery.appear.js HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/knob/knob-active.js HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/chat/jquery.chat.js HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/todo/jquery.todo.js HTTP/1.1" 200 5555
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/wave/waves.min.js HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/wave/wave-active.js HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/plugins.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/data-table/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/data-table/data-table-act.js HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/js/main.js HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/images/sort_asc.png HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:53 +0900] "GET /Daknawa/resources/admin/fonts/notika-icon.ttf?qzfrsz HTTP/1.1" 200 24080
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:55 +0900] "POST /Daknawa/select.me HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [27/May/2023:01:31:56 +0900] "POST /Daknawa/select.me HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:08 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 7979008
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:08 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 7987200
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:13 +0900] "GET /Daknawa/blacklist.me HTTP/1.1" 200 45945
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:13 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:23 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:23 +0900] "GET /Daknawa/ HTTP/1.1" 200 23439
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:23 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:23 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:23 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/menu.mn HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/css/styles.css HTTP/1.1" 200 248084
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/css/category-filters5.css HTTP/1.1" 200 12308
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/img/1.png HTTP/1.1" 200 343214
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/img/2.png HTTP/1.1" 200 360814
