0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:03 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:03 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:03 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:04 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:04 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:23 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 9945088
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:40:23 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 10502144
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:41:00 +0900] "GET /Daknawa/enrollForm.me HTTP/1.1" 200 30118
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:41:00 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:42:55 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:42:55 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:43:15 +0900] "GET /Daknawa/enrollForm.me HTTP/1.1" 200 30118
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:43:15 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:10 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:10 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:11 +0900] "POST /Daknawa/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:11 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:11 +0900] "GET /Daknawa/ HTTP/1.1" 200 23565
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:11 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:11 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:12 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:14 +0900] "GET /Daknawa/myPage.me HTTP/1.1" 200 19393
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:44:14 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:43 +0900] "GET /Daknawa/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:43 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:43 +0900] "GET /Daknawa/ HTTP/1.1" 200 23580
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:43 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:43 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:44 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:44 +0900] "GET /Daknawa/loginPage.me HTTP/1.1" 200 20812
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:44 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:46 +0900] "POST /Daknawa/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:46 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:46 +0900] "GET /Daknawa/ HTTP/1.1" 200 23492
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:46 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:46 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:47 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:48 +0900] "GET /Daknawa/myPage.me HTTP/1.1" 200 19320
0:0:0:0:0:0:0:1 - - [04/Jun/2023:22:45:48 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
